"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00129905","YOUNG AMERICA, IN US","40.5615","-86.3424","235.6","2012-10",,,"522.3","7","2.0",",7","9",",7","9",",7",,,,,"0",",7","6",",7","0",",7","6",",7","0",",7","-2.2",",7,09,+",,,,,"22.1",",,7,24,","25.6",",7,25,+",,,"345.1","7",,,,,,,,,"255.3",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123.4",",,,7",,,,,"10.2",",7","15.6",",,,7","4.7",",,,7",,,,,,,,,,,,
"US1INMM0004","DENVER 1.3 NE, IN US","40.875466","-86.056113","233.2","2012-10",,,,,,,"17",",N","11",",N",,,,,,,,,,,,,,,,,,,,,"19.6",",,N,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.5",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INPT0014","CHESTERTON 3.0 ESE, IN US","41.578833","-87.008","216.1","2012-10",,,,,,,"14","1,N","10","1,N",,,,,,,,,,,,,,,,,,,,,"21.1","1,,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.8","1,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INGR0012","MARION 5.6 NE, IN US","40.60385","-85.589309","267.0","2012-10",,,,,,,"13","2,N","8","2,N",,,,,,,,,,,,,,,,,,,,,"21.6","2,,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.2","2,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INHN0003","NEW PALESTINE 1.4 S, IN US","39.70061","-85.895044","246.0","2012-10",,,,,,,"14","2,N","9","2,N",,,,,,,,,,,,,,,,,,,,,"27.2","2,,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106.8","2,,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INGR0011","GAS CITY 0.9 SW, IN US","40.479301","-85.618888","255.4","2012-10",,,,,,,"14",",N","12",",N",,,,,,,,,,,,,,,,,,,,,"25.9",",,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111.9",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INCY0004","JASONVILLE 4.0 ENE, IN US","39.17632","-87.144557","167.6","2012-10",,,,,,,"12","5,N","5","5,N",,,,,,,,,,,,,,,,,,,,,"33.0","5,,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.7",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"USR0000IHAR","HARDIN RIDGE INDIANA, IN US","39.0","-86.4228","228.6","2012-10",,,"864.1","U","12.2",",U",,,,,,,,,"0",",U","1",",U","0",",U","11",",U","0",",U","-0.6",",U,11,",,,,,,,"27.8",",U,24,",,,"236.0","U",,,,,,,,,"194.9",",U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.4",",U","17.8",",,,U","7.1",",,,U",,,,,,,,,,,,
"US1INHW0003","KOKOMO 4.6 ESE, IN US","40.452784","-86.050761","257.9","2012-10",,,,,,,"12","2,N","8","2,N",,,,,,,,,,,,,,,,,,,,,"15.0","2,,N,31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107.6",",a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INHW0005","KOKOMO 4.3 SW, IN US","40.438315","-86.197831","255.1","2012-10",,,,,,,"13","3,N","10","3,N",,,,,,,,,,,,,,,,,,,,,"15.2","3,,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84.5","3,,,N",,,,,,,,,,,,,,,,,,,,,,
