,County,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained,Value
76,BARTHOLOMEW,0.4394787828994288,2.569164230828152,-0.5293403327439784,0.0194013382724206,0.1425227289335131,-0.4039218816368162,0.0,0.0,-0.8086202032603288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,156.26315789473685
77,GIBSON,-0.392625860041199,-0.1697389916329773,-0.1809988508490748,-0.240724995456403,2.044741405497447,-0.3528346288412501,0.0,5.232498982498992,-0.674844614335801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,164.93684210526317
78,HUNTINGTON,-0.2055438304000318,-0.1562852954257447,0.628292757399753,-0.4762022261275057,-1.2941879293330751,0.1930760242034629,0.0,0.0294874130971001,1.0219881904036303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,160.72
79,HOWARD,1.0655088896489209,0.5312878612293782,0.1981241579762402,-0.36930499519755,-1.1067468077256173,0.2535010911918843,0.0,0.0,1.8993304280424068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,181.805
80,LAWRENCE,-0.5384661147856783,1.7867252643576823,-0.4552551267882052,-0.4091155962550009,0.4469112958391963,-1.1309470415256169,0.0,0.0,-1.6940655749643725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,147.59
81,OHIO,-0.5730652656290701,2.112997398096994,0.2059132394808735,-0.5784047450203569,-0.042768298379065,-0.620092761580151,0.0,0.0,-0.4774137820919773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,147.85454545454547
82,PERRY,-0.4171871507434841,0.6384145543369526,-0.5037638067411262,-0.5159043339152645,0.618972347905254,-0.9106284062463776,0.0,0.0,-1.7222480467494186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,146.40714285714284
83,WHITLEY,0.1906526922488654,-0.1916975279731077,1.9841515890738624,0.3391215794618424,-0.7719389491410255,0.2230583294978799,0.0,0.6362788587559203,0.4343775415909557,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,158.34285714285713
84,WAYNE,-0.1070501603387089,0.0411960443236032,0.1135647429837992,0.1494001066292203,-1.218102908047286,0.2914202238383548,0.0,0.0,1.4770847634070203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,157.43809523809523
85,WELLS,0.0939211112905219,-0.0246726413554033,0.837537897443588,-0.6939406320219094,-0.8885184093189593,0.2793378947036736,0.0,0.0,0.4185927590411817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,160.73333333333332
86,ST. JOSEPH,-1.158124571420838,-0.6790647405452013,0.0916698384511905,2.2565008861506963,-1.653434274108918,-0.1600076019301263,0.0001385041551246,1.4515539861800275,-1.204829379774824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,154.26666666666665
