Location,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained
White County,-1.0613096231824297,0.20310676417975682,0.3766321587881369,0.8877765541836052,-0.9228270975036251,0.06246133114370316,0.0,0.17715043577112244,-0.8285973434096644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0
Owen County,-0.04209228261528585,0.5930000325242225,-0.4932380713595982,-0.4543102626123161,0.19676529665836956,-0.8163259768072921,0.0,0.0,-1.0748522478629494,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Parke County,0.3259716051392518,0.09156310913724146,-0.06782282682678877,1.0845804706540279,0.6763955110175206,0.010848571402312575,0.0,0.0,0.2105614886873578,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Orange County,0.2575476233254463,2.184185993000127,-0.2432428899258128,-0.6993143424372259,1.0238283484111266,-1.3229254126953722,0.0,0.0,-1.6894115887980343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Sullivan County,-0.973536705284709,0.7745829534124437,-0.3807908517646496,0.16147531942086502,1.3044942982744585,-0.45346013578975136,0.0,5.808575846264298,-0.06355773359377717,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Vermillion County,0.6272914634178569,0.08607002809702285,-0.05459766913398474,0.8126377918660264,0.6263456099717302,0.06490693054233472,0.0,2.851843038850917,-0.01564281087715687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Morgan County,0.36674784841596414,0.8644502523545939,-0.22736948911876773,0.1195879648764945,0.010671920652414374,-0.06042959859862194,0.0,0.0,1.0193104194884612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Pulaski County,1.8312822910693496,-0.1555098869903454,1.243449348163573,1.6631997475546185,-0.05050117597359266,0.12487420765133597,0.0,1.448003939904585,-1.3258504555429225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Montgomery County,1.6094847426295977,0.06843489679964418,-0.0970216775057317,0.3975525906453704,0.17584437232863084,0.18122458607320344,0.0,0.0,0.6550163812306938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Vanderburgh County,0.8032546055524239,-0.18083976461839202,-0.22954449486843645,-0.7016528485144015,2.1491075937720527,-0.7145837390019977,0.0,5.048787419477082,0.6090146576151576,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
